nohup: ignoring input
watch: 2026-08-08T00:36:06Z env=stage region=us-west-2 profile=demo-admin interval=20s
watch: account 993912191738
00:36:07 | acct=993912191738 | alb=none | rds=none | ecs=none | sg=none | store=count#2026-08-06 count#2026-08-05 count#2026-08-07  | run=31158254599 completed/cancelled
00:36:34 | acct=993912191738 | alb=none | rds=none | ecs=none | sg=none | store=count#2026-08-06 count#2026-08-05 count#2026-08-07  | run=31158254599 completed/cancelled
00:37:02 | acct=993912191738 | alb=none | rds=none | ecs=none | sg=none | store=count#2026-08-06 count#2026-08-05 count#2026-08-07  | run=31158254599 completed/cancelled
00:37:34 | acct=993912191738 | alb=none | rds=none | ecs=none | sg=none | store=count#2026-08-06 count#2026-08-05 count#2026-08-07  | run=31158254599 completed/cancelled
00:38:01 | acct=993912191738 | alb=none | rds=none | ecs=none | sg=none | store=count#2026-08-06 count#2026-08-05 lock count#2026-08-07 count#2026-08-08  | run=31230641268 queued/
00:38:29 | acct=993912191738 | alb=none | rds=none | ecs=none | sg=none | store=count#2026-08-06 count#2026-08-05 lock count#2026-08-07 count#2026-08-08  | run=31230641268 in_progress/
00:39:00 | acct=993912191738 | alb=none | rds=none | ecs=none | sg=none | store=count#2026-08-06 count#2026-08-05 lock count#2026-08-07 count#2026-08-08  | run=31230641268 in_progress/
00:39:30 | acct=993912191738 | alb=none | rds=none | ecs=none | sg=default aws-devops-sdet-demo-stage-alb-sg  | store=count#2026-08-06 count#2026-08-05 lock count#2026-08-07 count#2026-08-08  | run=31230641268 in_progress/
00:39:57 | acct=993912191738 | alb=aws-devops-sdet-demo-stage-alb provisioning  | rds=none | ecs=none | sg=default aws-devops-sdet-demo-stage-alb-sg  | store=count#2026-08-06 count#2026-08-05 lock count#2026-08-07 count#2026-08-08  | run=31230641268 in_progress/
00:40:26 | acct=993912191738 | alb=aws-devops-sdet-demo-stage-alb provisioning  | rds=none | ecs=none | sg=default aws-devops-sdet-demo-stage-alb-sg  | store=count#2026-08-06 count#2026-08-05 lock count#2026-08-07 count#2026-08-08  | run=31230641268 in_progress/
00:40:58 | acct=993912191738 | alb=aws-devops-sdet-demo-stage-alb provisioning  | rds=none | ecs=none | sg=default aws-devops-sdet-demo-stage-alb-sg  | store=count#2026-08-06 count#2026-08-05 lock count#2026-08-07 count#2026-08-08  | run=31230641268 in_progress/
00:41:27 | acct=993912191738 | alb=aws-devops-sdet-demo-stage-alb provisioning  | rds=none | ecs=none | sg=default aws-devops-sdet-demo-stage-alb-sg  | store=count#2026-08-06 count#2026-08-05 lock count#2026-08-07 count#2026-08-08  | run=31230641268 in_progress/
00:41:54 | acct=993912191738 | alb=aws-devops-sdet-demo-stage-alb provisioning  | rds=none | ecs=none | sg=default aws-devops-sdet-demo-stage-alb-sg  | store=count#2026-08-06 count#2026-08-05 lock count#2026-08-07 count#2026-08-08  | run=31230641268 in_progress/
00:42:22 | acct=993912191738 | alb=aws-devops-sdet-demo-stage-alb active  | rds=none | ecs=none | sg=default aws-devops-sdet-demo-stage-alb-sg  | store=count#2026-08-06 count#2026-08-05 lock count#2026-08-07 count#2026-08-08  | run=31230641268 in_progress/
00:42:55 | acct=993912191738 | alb=aws-devops-sdet-demo-stage-alb active  | rds=aws-devops-sdet-demo-stage-db creating  | ecs=arn:aws:ecs:us-west-2:993912191738:cluster/aws-devops-sdet-demo-stage-cluster  | sg=default aws-devops-sdet-demo-stage-alb-sg aws-devops-sdet-demo-stage-rds-sg aws-devops-sdet-demo-stage-app-sg  | store=count#2026-08-06 count#2026-08-05 lock count#2026-08-07 count#2026-08-08  | run=31230641268 in_progress/
